DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-09-02,EQ,537.0,537.85,531.25,533.3,535.0,536.7,535.36,549.0,413.5,10017930,5363164755.2,124824,SBIN
2022-09-01,EQ,522.25,540.9,522.25,531.25,534.25,533.3,535.06,549.0,413.5,16670228,8919650119.4,218023,SBIN
2022-08-30,EQ,518.2,532.5,517.95,514.85,531.0,531.25,528.36,549.0,413.5,14835308,7838353166.55,166014,SBIN
2022-08-29,EQ,511.3,517.0,508.75,523.8,515.0,514.85,513.62,549.0,413.5,9421339,4838957049.45,143380,SBIN
2022-08-26,EQ,523.8,529.5,522.2,520.4,524.3,523.8,525.17,549.0,401.25,12855886,6751514077.25,128630,SBIN
2022-08-25,EQ,521.95,528.3,518.5,519.3,520.15,520.4,523.9,549.0,401.25,15473450,8106540162.8,167210,SBIN
2022-08-24,EQ,519.0,523.0,512.3,521.9,520.4,519.3,517.9,549.0,401.25,11930650,6178850761.4,143063,SBIN
2022-08-23,EQ,508.25,524.0,508.25,511.3,523.0,521.9,517.45,549.0,401.25,8597965,4448995522.9,130274,SBIN
2022-08-22,EQ,519.0,519.9,510.0,520.35,511.1,511.3,513.09,549.0,401.25,9676954,4965152207.8,165588,SBIN
2022-08-19,EQ,532.0,533.65,518.5,532.35,520.05,520.35,523.18,549.0,401.25,11087222,5800622525.65,146387,SBIN
2022-08-18,EQ,526.85,534.8,526.2,528.15,532.0,532.35,531.57,549.0,401.25,9013662,4791385825.2,120443,SBIN
2022-08-17,EQ,528.85,530.55,524.35,525.95,527.8,528.15,526.89,549.0,401.25,12054183,6351246080.75,159055,SBIN
2022-08-16,EQ,533.3,533.85,525.0,530.7,526.6,525.95,527.74,549.0,401.25,10721167,5657979793.75,145707,SBIN
2022-08-12,EQ,525.7,531.8,525.15,524.75,531.0,530.7,529.76,549.0,401.25,12154012,6438750910.6,160036,SBIN
2022-08-11,EQ,520.0,526.0,517.2,514.7,524.5,524.75,521.76,549.0,401.25,13862195,7232693557.9,192485,SBIN
2022-08-10,EQ,521.55,523.5,513.4,520.4,513.9,514.7,516.46,549.0,401.25,16904151,8730379353.15,247601,SBIN
2022-08-08,EQ,524.0,524.0,513.85,531.05,520.1,520.4,518.01,549.0,401.25,32566317,16869712451.35,416603,SBIN
2022-08-05,EQ,535.55,542.9,529.0,533.25,532.35,531.05,537.29,549.0,401.25,21110734,11342675873.75,205564,SBIN
2022-08-04,EQ,543.65,544.0,524.2,540.85,532.3,533.25,532.95,549.0,401.25,18072293,9631594662.25,201817,SBIN
2022-08-03,EQ,541.9,546.4,534.65,542.1,540.5,540.85,542.04,549.0,401.25,24262125,13151082595.4,253745,SBIN
2022-08-02,EQ,531.9,544.9,531.1,533.75,540.0,542.1,541.38,549.0,401.25,16845027,9119556236.75,230932,SBIN
2022-08-01,EQ,529.05,535.0,526.4,528.35,533.35,533.75,532.31,549.0,401.25,8295631,4415816994.75,124805,SBIN
2022-07-29,EQ,535.05,537.0,526.75,532.45,527.65,528.35,529.82,549.0,401.25,11921058,6315998165.4,144306,SBIN
2022-07-28,EQ,533.2,537.5,529.55,528.2,532.15,532.45,532.51,549.0,401.25,12160734,6475654215.2,215225,SBIN
2022-07-27,EQ,515.3,529.95,512.25,514.2,528.35,528.2,522.16,549.0,401.25,15101546,7885450134.35,333000,SBIN
2022-07-26,EQ,517.7,520.8,513.1,517.8,513.7,514.2,516.44,549.0,401.25,8862656,4577000715.15,168343,SBIN
2022-07-25,EQ,513.4,519.0,509.15,513.7,516.25,517.8,514.4,549.0,401.25,10229778,5262242658.25,153553,SBIN
2022-07-22,EQ,513.45,520.2,511.2,512.05,511.9,513.7,516.23,549.0,401.25,14699129,7588186570.15,244781,SBIN
2022-07-21,EQ,509.8,513.4,506.75,508.6,511.1,512.05,511.48,549.0,401.25,13814893,7066028812.7,196106,SBIN
2022-07-20,EQ,501.0,510.6,500.4,497.95,507.4,508.6,507.48,549.0,401.25,19280117,9784217298.85,254529,SBIN
2022-07-19,EQ,488.0,498.55,488.0,490.3,497.9,497.95,494.57,549.0,401.25,11724183,5798451759.05,130777,SBIN
2022-07-18,EQ,484.55,491.5,482.1,479.1,489.6,490.3,487.33,549.0,401.25,9934786,4841501119.4,178323,SBIN
2022-07-15,EQ,482.55,484.4,474.7,479.35,478.7,479.1,478.3,549.0,401.25,6945602,3322054772.0,120161,SBIN
2022-07-14,EQ,486.6,488.9,476.8,486.5,480.3,479.35,482.03,549.0,401.25,9385630,4524120598.85,151617,SBIN
2022-07-13,EQ,487.75,492.45,484.55,484.95,486.2,486.5,488.27,549.0,401.25,8208853,4008106035.85,129820,SBIN
2022-07-12,EQ,485.0,491.35,483.1,488.2,483.4,484.95,488.66,549.0,401.25,7364457,3598704148.85,108367,SBIN
2022-07-11,EQ,485.0,491.3,485.0,488.55,488.05,488.2,488.75,549.0,401.25,7704792,3765716046.15,94857,SBIN
2022-07-08,EQ,489.0,489.9,485.15,486.75,488.45,488.55,487.44,549.0,401.25,9057231,4414856472.4,162363,SBIN
2022-07-07,EQ,484.0,488.25,481.6,479.95,486.9,486.75,485.27,549.0,401.25,11497832,5579593687.8,173806,SBIN
2022-07-06,EQ,475.15,481.0,473.9,472.15,480.55,479.95,478.18,549.0,401.25,12059857,5766832535.75,179395,SBIN
2022-07-05,EQ,475.15,480.0,471.0,473.45,472.55,472.15,475.99,549.0,401.25,12003244,5713384767.95,143727,SBIN
2022-07-04,EQ,466.85,474.15,466.85,466.85,473.95,473.45,470.57,549.0,401.25,9186358,4322793774.1,115285,SBIN
2022-07-01,EQ,463.35,468.8,460.55,465.9,468.5,466.85,465.07,549.0,401.25,9405495,4374195289.05,116790,SBIN
2022-06-30,EQ,459.0,469.3,458.6,459.1,465.6,465.9,465.57,549.0,401.25,16926328,7880439985.75,186175,SBIN
2022-06-29,EQ,460.0,462.7,458.0,464.25,458.95,459.1,460.55,549.0,401.25,11800876,5434914241.85,107588,SBIN
2022-06-28,EQ,458.9,465.75,458.0,461.2,464.75,464.25,462.78,549.0,401.25,13261290,6137031012.35,168906,SBIN
2022-06-27,EQ,459.95,464.85,458.05,454.25,461.55,461.2,461.18,549.0,401.25,9509175,4385421054.0,103487,SBIN
2022-06-24,EQ,455.8,460.35,453.2,451.4,454.55,454.25,455.97,549.0,400.5,10833364,4939643608.55,127154,SBIN
2022-06-23,EQ,449.0,456.45,446.0,447.65,451.25,451.4,451.63,549.0,400.5,12229833,5523391671.25,157832,SBIN
2022-06-22,EQ,448.75,451.2,444.65,450.75,447.05,447.65,447.71,549.0,400.5,11066447,4954585919.8,111722,SBIN
2022-06-21,EQ,439.5,454.95,437.6,434.7,451.0,450.75,447.76,549.0,400.5,13801891,6179936791.15,178846,SBIN
2022-06-20,EQ,441.5,443.45,430.7,441.0,434.65,434.7,436.85,549.0,400.5,12368534,5403153186.35,172757,SBIN
2022-06-17,EQ,440.0,447.55,437.25,441.6,442.5,441.0,443.05,549.0,400.5,14326050,6347137199.65,167655,SBIN
2022-06-16,EQ,455.15,457.75,440.15,451.35,441.15,441.6,448.44,549.0,400.5,10780703,4834445595.35,139788,SBIN
2022-06-15,EQ,448.95,455.45,448.6,448.1,450.25,451.35,452.6,549.0,400.5,9920926,4490231934.55,119413,SBIN
2022-06-14,EQ,445.0,449.25,443.35,445.85,448.0,448.1,446.47,549.0,400.5,11351101,5067902738.85,136687,SBIN
2022-06-13,EQ,454.0,454.05,442.1,461.85,446.1,445.85,446.07,549.0,400.5,13426836,5989284598.4,203861,SBIN
2022-06-10,EQ,462.0,464.15,458.6,466.95,462.1,461.85,461.6,549.0,400.5,8621104,3979479308.5,127828,SBIN
2022-06-09,EQ,468.95,470.9,462.45,471.3,467.2,466.95,465.94,549.0,400.5,12635601,5887439316.6,158259,SBIN
2022-06-08,EQ,466.6,475.55,463.2,463.4,471.0,471.3,470.58,549.0,400.5,17168871,8079264816.6,192002,SBIN
2022-06-07,EQ,461.85,465.95,460.5,463.7,463.95,463.4,462.95,549.0,400.5,7672515,3551990864.45,108268,SBIN
2022-06-06,EQ,464.2,465.6,456.5,464.5,463.6,463.7,461.88,549.0,400.5,10661432,4924334007.85,137662,SBIN
2022-06-03,EQ,473.25,475.5,463.5,469.85,465.0,464.5,470.15,549.0,400.5,11306291,5315646218.95,114757,SBIN
2022-06-02,EQ,466.9,472.35,466.15,468.3,470.0,469.85,469.68,549.0,400.5,9370989,4401383675.1,114087,SBIN
